ID,Player Name,Team,Position,Status,Age
*04emt*,Jake Meyers,HOU,OF,DT,27
*065ji*,Jakob Marsee,MIA,OF,LIAM,22
*04pw3*,James McArthur,KC,RP,BARTO,27
*05ucf*,James Triantos,CHC,"3B,SS",PAP,21
*05rat*,James Wood,WSH,OF,Tino,21
*01srb*,Jameson Taillon,CHC,SP,Bird,32
*05h2u*,Jared Jones,PIT,"SP,RP",PAP,22
*04pst*,Jarren Duran,BOS,OF,Tino,27
*04aoq*,Jason Foley,DET,RP,Bird,28
*050c3*,Jasson Dominguez,NYY,OF,BEIM,21
*04fq2*,Javier Assad,CHC,"SP,RP",DT,26
*05t9f*,Jay Allen,CIN,OF,BARTO,21
*045qo*,Jazz Chisholm Jr.,MIA,OF,BARTO,26
*03ann*,Jeff Hoffman,PHI,RP,DT,31
*04mlr*,Jeffrey Springs,TB,SP,JGC,31
*04ehz*,Jeremiah Estrada,SD,RP,Bird,25
*04ppj*,Jeremy Pena,HOU,SS,PAP,26
*02mwg*,Jesse Winker,WSH,"OF,UT",BEIM,30
*041r1*,Jesus Luzardo,MIA,SP,reed,26
*060la*,Jett Williams,NYM,SS,Bird,20
*04apj*,Jhoan Duran,MIN,RP,LIAM,26
*04y95*,JJ Bleday,OAK,OF,LIAM,26
*04aee*,Jo Adell,LAA,OF,Kirby,25
*01sve*,Joe Kelly,LAD,RP,DT,35
*02bqy*,Joe Musgrove,SD,SP,PAP,31
*04ps7*,Joe Ryan,MIN,SP,LIAM,28
*06625*,Joendry Vargas,LAD,SS,DT,18
*05yfl*,Joey Loperfido,HOU,OF,reed,25
*0513c*,Joey Ortiz,MIL,"2B,3B",Bird,25
*04674*,Johan Oviedo,PIT,SP,BARTO,26
*03dim*,John Means,BAL,SP,PAP,31
*041rj*,JoJo Romero,STL,RP,Geezers,27
*02bxv*,Jon Gray,TEX,SP,JGC,32
*031b2*,Jonah Heim,TEX,C,reed,28
*0658b*,Jonah Tong,NYM,SP,PAP,20
*04y94*,Jonny Deluca,TB,OF,Kirby,25
*066sx*,Jonny Farmelo,SEA,SS,DT,19
*03vcw*,Jordan Hicks,SF,"SP,RP",Bird,27
*05r1m*,Jordan Lawlar,ARI,SS,BARTO,21
*0614c*,Jordan Leasure,CHW,RP,DT,25
*03dbo*,Jordan Montgomery,ARI,SP,Bird,31
*03di6*,Jordan Romano,TOR,RP,PAP,31
*05gbf*,Jordan Walker,STL,OF,Kirby,22
*05gsc*,Jordan Westburg,BAL,"2B,3B",BARTO,25
*03b6k*,Jorge Mateo,BAL,"2B,SS",Geezers,28
*02i11*,Jorge Soler,SF,"OF,UT",LIAM,32
*024m0*,Jose Altuve,HOU,2B,BEIM,34
*03btm*,Jose Alvarado,PHI,RP,reed,29
*02mwk*,Jose Berrios,TOR,SP,BEIM,30
*05oz7*,Jose Butto,NYM,SP,BARTO,26
*04eig*,Jose Caballero,TB,"2B,SS",BEIM,27
*04k0x*,Jose Quijada,LAA,RP,JGC,28
*01ub6*,Jose Ramirez,CLE,3B,PAP,31
*04c0o*,Jose Soriano,LAA,"SP,RP",reed,25
*02n96*,Josh Hader,HOU,RP,Kirby,30
*04y44*,Josh Jung,TEX,3B,Geezers,26
*041ah*,Josh Lowe,TB,OF,BARTO,26
*03pjd*,Josh Naylor,CLE,1B,BARTO,26
*04oct*,Josh Rojas,SEA,"2B,3B",DT,29
*052ru*,Josh Smith,TEX,"3B,SS,OF",Geezers,26
*061zv*,Josue De Paula,LAD,OF,DT,19
*03ynj*,Juan Soto,NYY,OF,owenhern,25
*04fhb*,Julio Rodriguez,SEA,OF,BARTO,23
*05m49*,Jung Hoo Lee,SF,OF,BARTO,25
*05xch*,Junior Caminero,TB,3B,Bird,20
*01spl*,Jurickson Profar,SD,OF,Geezers,31
*03deg*,Justin Steele,CHC,SP,reed,28
*01lum*,Justin Turner,TOR,1B,Geezers,39
*000dp*,Justin Verlander,HOU,SP,reed,41
*05y9r*,Justin Wrobleski,LAD,SP,DT,23
*05uy1*,Justyn-Henry Malloy,DET,3B,Kirby,24
*04esc*,Keaton Winn,SF,SP,reed,26
*03pji*,Ke'Bryan Hayes,PIT,3B,Tino,27
*03rmz*,Keibert Ruiz,WSH,C,JGC,25
*01svz*,Kenley Jansen,BOS,RP,Geezers,36
*051em*,Kerry Carpenter,DET,OF,Tino,26
*0326s*,Ketel Marte,ARI,2B,LIAM,30
*04qow*,Kevin Alcantara,CHC,OF,Tino,21
*02hi7*,Kevin Gausman,TOR,SP,Geezers,33
*030vs*,Kirby Yates,TEX,RP,JGC,37
*04a2t*,Kodai Senga,NYM,SP,Bird,31
*0510z*,Korey Lee,CHW,C,Tino,25
*04pmb*,Kris Bubic,KC,SP,DT,26
*06f0q*,Kristian Campbell,BOS,SS,LIAM,21
*04ep8*,Kutter Crawford,BOS,"SP,RP",JGC,28
*04pq4*,Kyle Bradish,BAL,SP,Kirby,27
*031bl*,Kyle Finnegan,WSH,RP,owenhern,32
*05js3*,Kyle Harrison,SF,SP,Tino,22
*05rfu*,Kyle Manzardo,CLE,1B,Kirby,23
*03cag*,Kyle Schwarber,PHI,OF,Geezers,31
*05wxy*,Kyle Teel,BOS,"C,OF",BARTO,22
*03pir*,Kyle Tucker,HOU,OF,JGC,27
*04aed*,Kyle Wright,KC,SP,Tino,28
*05yeu*,Lael Lockhart,DET,SP,BEIM,26
*03qo2*,LaMonte Wade Jr.,SF,"1B,OF",Bird,30
*026l1*,Lance McCullers Jr.,HOU,SP,Tino,30
*05l9f*,Landon Knack,LAD,SP,Geezers,26
*03dei*,Lane Thomas,WSH,OF,Kirby,28
*04pt2*,Lars Nootbaar,STL,OF,LIAM,26
*05rfc*,Lazaro Montes,SEA,"1B,OF",Bird,19
*067yc*,Leodalis De Vries,SD,SS,Kirby,17
*01ub8*,Liam Hendriks,BOS,RP,LIAM,35
*06hv8*,Logan Evans,SEA,SP,Bird,23
*04n0m*,Logan Gilbert,SEA,SP,Kirby,27
*04q56*,Logan O'Hoppe,LAA,C,PAP,24
*03dbm*,Logan Webb,SF,SP,BEIM,27
*03nri*,Lourdes Gurriel Jr.,ARI,OF,BARTO,30
*02i37*,Lucas Giolito,BOS,SP,reed,29
*03mew*,Luis Arraez,SD,"1B,2B",BARTO,27
*03nuc*,Luis Castillo,SEA,SP,LIAM,31
*0414g*,Luis Garcia,WSH,2B,reed,24
*04ni3*,Luis Garcia,HOU,SP,BARTO,27
*04s1h*,Luis Gil,NYY,SP,owenhern,26
*04y11*,Luis Matos,SF,OF,Bird,22
*03avk*,Luis Rengifo,LAA,"2B,3B,SS,OF",JGC,27
*047l7*,Luis Robert Jr.,CHW,OF,reed,26
*03ab0*,Luis Severino,NYM,SP,Geezers,30
*04z6k*,Luisangel Acuna,NYM,SS,owenhern,22
*05zh9*,Luke Keaschall,MIN,2B,JGC,21
*02c5l*,Luke Weaver,NYY,"SP,RP",owenhern,30
*05yha*,Mac Horvath,BAL,3B,LIAM,22
*04cd5*,MacKenzie Gore,WSH,SP,BEIM,25
*05g3x*,Maikel Garcia,KC,3B,owenhern,24
*01svq*,Manny Machado,SD,3B,LIAM,31
*01usi*,Marcell Ozuna,ATL,UT,LIAM,33
*05r9j*,Marcelo Mayer,BOS,SS,owenhern,21
*04ooy*,Marco Luciano,SF,SS,reed,22
*02bu9*,Marcus Semien,TEX,2B,reed,33
*02hg4*,Marcus Stroman,NYY,SP,owenhern,33
*025eo*,Mark Canha,DET,OF,DT,35
*0319c*,Mark Leiter Jr.,CHC,RP,BARTO,33
*03zcy*,Mark Vientos,NYM,3B,JGC,24
*05rc3*,Masataka Yoshida,BOS,OF,PAP,30
*05ucd*,Mason Miller,OAK,"SP,RP",reed,25
*05gwy*,Masyn Winn,STL,SS,JGC,22
*05138*,Matt Brash,SEA,RP,Kirby,26
*03d6s*,Matt Chapman,SF,3B,Geezers,31
*04pks*,Matt McLain,CIN,"2B,SS",BARTO,24
*02mwm*,Matt Olson,ATL,1B,BEIM,30
*063vu*,Matt Shaw,CHC,2B,Kirby,22
*04pqq*,Matt Vierling,DET,"3B,OF",BEIM,27
*051e5*,Matt Waldron,SD,SP,JGC,27
*06dmr*,Matt Wilkinson,CLE,SP,BARTO,21
*05u9y*,Max Clark,DET,OF,Tino,19
*02i2j*,Max Fried,ATL,SP,BEIM,30
*01vja*,Max Kepler,MIN,OF,Kirby,31
*05a2d*,Max Meyer,MIA,SP,Tino,25
*02mzg*,Max Muncy,LAD,3B,Geezers,33
*004ee*,Max Scherzer,TEX,SP,JGC,39
*04q24*,Max Schuemann,OAK,SS,DT,26
*02hj7*,Merrill Kelly,ARI,SP,Geezers,35
*04t9b*,Michael Busch,CHC,"1B,3B",JGC,26
*0512v*,Michael Harris II,ATL,OF,Bird,23
*041wv*,Michael King,SD,"SP,RP",Tino,29
*03d6v*,Michael Kopech,CHW,"SP,RP",reed,28
*02iug*,Michael Wacha,KC,SP,owenhern,32
*05g4k*,Mick Abel,PHI,SP,BEIM,22
*02i3l*,Miguel Andujar,OAK,OF,LIAM,29
*05m1c*,Miguel Bleis,BOS,OF,LIAM,20
*04ru7*,Miguel Vargas,LAD,2B,Tino,24
*06dnb*,Mike Boeve,MIL,3B,BEIM,22
*01s8u*,Mike Trout,LAA,OF,Geezers,32
*031cd*,Mitch Garver,SEA,C,DT,33
*03d7h*,Mitch Keller,PIT,SP,PAP,28
*05jqy*,Mitchell Parker,WSH,"SP,RP",owenhern,24
*05rbs*,Moises Ballesteros,CHC,C,Kirby,20
*02btf*,Mookie Betts,LAD,"2B,SS,OF",DT,31
*01ut7*,Nathan Eovaldi,TEX,SP,DT,34
*041xv*,Nathaniel Lowe,TEX,1B,owenhern,28
*03bin*,Nestor Cortes Jr.,NYY,SP,BARTO,29
*01uc9*,Nick Castellanos,PHI,OF,JGC,32
*0597k*,Nick Gonzales,PIT,2B,PAP,25
*041ps*,Nick Lodolo,CIN,SP,Tino,26
*0316j*,Nick Pivetta,BOS,"SP,RP",Kirby,31
*04pkr*,Nico Hoerner,CHC,"2B,SS",Geezers,27
*05uc7*,Noah Schultz,CHW,SP,reed,20
*062yr*,Noble Meyer,MIA,SP,DT,19
*04qnd*,Noelvi Marte,CIN,3B,JGC,22
*01sy3*,Nolan Arenado,STL,3B,JGC,33
*04ai4*,Nolan Gorman,STL,2B,Kirby,24
*041q6*,Nolan Jones,COL,OF,JGC,26
*05y7s*,Nolan McLean,NYM,3B,reed,22
*03zlh*,Oneil Cruz,PIT,SS,Bird,25
*04mms*,Orelvis Martinez,TOR,SS,JGC,22
*06491*,Orion Kerkering,PHI,RP,BARTO,23
*04g7n*,Oswald Peraza,NYY,3B,owenhern,23
*05jsg*,Owen Caissie,CHC,OF,Kirby,21
*03fi0*,Ozzie Albies,ATL,2B,JGC,27
*043f9*,Pablo Lopez,MIN,SP,BEIM,28
*04pmn*,Parker Meadows,DET,OF,Tino,24
*04yuu*,Patrick Bailey,SF,C,LIAM,25
*01ual*,Paul Goldschmidt,STL,1B,reed,36
*02n2x*,Paul Sewald,ARI,RP,JGC,34
*05wru*,Paul Skenes,PIT,SP,BARTO,22
*041pz*,Pete Alonso,NYM,1B,Bird,29
*051wv*,Pete Crow-Armstrong,CHC,OF,Kirby,22
*03qo0*,Pete Fairbanks,TB,RP,PAP,30
*030uc*,Rafael Devers,BOS,3B,reed,27
*03aqv*,Raisel Iglesias,ATL,RP,LIAM,34
*067yp*,Ralphy Velazquez,CLE,C,Tino,19
*040b5*,Randy Arozarena,TB,OF,Geezers,29
*03et8*,Ranger Suarez,PHI,SP,LIAM,28
*04px8*,Reese Olson,DET,SP,Bird,24
*0596g*,Reid Detmers,LAA,SP,BARTO,24
*03i81*,Reynaldo Lopez,ATL,"SP,RP",LIAM,30
*061bo*,Rhett Lowder,CIN,SP,owenhern,22
*03de9*,Rhys Hoskins,MIL,1B,LIAM,31
*04ppk*,Richie Palacios,TB,"2B,OF",reed,27
*05js6*,Ricky Tiedemann,TOR,SP,PAP,21
*04nb2*,Riley Greene,DET,OF,PAP,23
*05ynx*,River Ryan,LAD,SP,PAP,25
*025j1*,Robbie Ray,SF,SP,JGC,32
*061mh*,Robby Snelling,SD,RP,Geezers,20
*05u6r*,Robert Gasser,MIL,SP,owenhern,25
*02bq7*,Robert Stephenson,LAA,RP,JGC,31
*05r01*,Robert Suarez,SD,RP,Geezers,33
*05gec*,Roderick Arias,NYY,SS,owenhern,19
*05u9z*,Roman Anthony,BOS,OF,Kirby,20
*03wha*,Ronald Acuna Jr.,ATL,OF,BEIM,26
*04ydi*,Ronel Blanco,HOU,"SP,RP",Geezers,30
*04fyo*,Ronny Mauricio,NYM,2B,PAP,23
*04aeb*,Royce Lewis,MIN,3B,PAP,25
*05tc7*,Ryan Bliss,SEA,SS,Geezers,24
*03ql5*,Ryan Helsley,STL,RP,DT,29
*04pmu*,Ryan Jeffers,MIN,C,Tino,27
*0310n*,Ryan McMahon,COL,"2B,3B",BARTO,29
*03pjl*,Ryan Mountcastle,BAL,1B,Kirby,27
*0512m*,Ryan Pepiot,TB,"SP,RP",BARTO,26
*066n3*,Ryan Walker,SF,"SP,RP",owenhern,28
*04mnw*,Ryan Weathers,MIA,SP,owenhern,24
*05rb1*,Sal Frelick,MIL,OF,owenhern,24
*01u75*,Salvador Perez,KC,"C,1B",BEIM,34
*05rbv*,Samuel Basallo,BAL,C,Bird,19
*03btv*,Sandy Alcantara,MIA,SP,LIAM,28
*03qs8*,Scott Effross,NYY,RP,BEIM,30
*02x0f*,Sean Manaea,NYM,"SP,RP",Tino,32
*03aoy*,Sean Murphy,ATL,C,PAP,29
*0662o*,Sebastian Walcott,TEX,SS,BEIM,18
*04b02*,Seiya Suzuki,CHC,OF,reed,29
*03sef*,Seth Lugo,KC,SP,JGC,34
*04cwf*,Shane Baz,TB,SP,BEIM,24
*041rf*,Shane Bieber,CLE,SP,Tino,29
*04mlt*,Shane McClanahan,TB,SP,LIAM,27
*04o4s*,Shea Langeliers,OAK,C,owenhern,26
*02yc4*,Shohei Ohtani,LAD,"UT,SP",BEIM,29
*05ge9*,Shota Imanaga,CHC,SP,PAP,30
*0260v*,Sonny Gray,STL,SP,PAP,34
*04yi8*,Spencer Jones,NYY,"1B,OF",Tino,23
*05tq1*,Spencer Schwellenbach,ATL,SP,LIAM,24
*0512e*,Spencer Steer,CIN,"1B,3B,OF",PAP,26
*05mre*,Spencer Strider,ATL,SP,BARTO,25
*04yk2*,Spencer Torkelson,DET,1B,Geezers,24
*01s9k*,Starling Marte,NYM,OF,PAP,35
*04pr1*,Steven Kwan,CLE,OF,owenhern,26
*04pr8*,Taj Bradley,TB,SP,Tino,23
