,ID,Player Name,Team,Position,Status,Age,RANK
58,*04yig*,Brooks Lee,MIN,SS,JGC,23,500
59,*03zbj*,Brusdar Graterol,LAD,RP,BARTO,25,500
60,*03bud*,Bryan De La Cruz,MIA,OF,BEIM,27,342
61,*03e5m*,Bryan Reynolds,PIT,OF,LIAM,29,137
62,*05y62*,Bryan Woo,SEA,SP,DT,24,106
63,*05u96*,Bryce Eldridge,SF,"OF,SP",JGC,19,500
64,*01fh9*,Bryce Harper,PHI,1B,DT,31,16
65,*05vy6*,Bryce Miller,SEA,SP,LIAM,25,78
66,*04p10*,Bryson Stott,PHI,"2B,SS",PAP,26,82
67,*05rik*,Bubba Chandler,PIT,"SP,RP",reed,21,500
68,*02i2k*,Byron Buxton,MIN,OF,PAP,30,232
69,*05gef*,Cade Cavalli,WSH,SP,Bird,25,408
70,*05gww*,Cade Horton,CHC,SP,owenhern,22,158
71,*05xop*,Cade Povich,BAL,SP,Bird,24,399
72,*04eor*,Cade Smith,CLE,RP,owenhern,25,500
73,*04my4*,Cal Raleigh,SEA,C,LIAM,27,231
74,*05u1y*,Cam Collier,CIN,3B,reed,19,500
75,*04k0w*,Camilo Doval,SF,RP,reed,26,172
76,*02i2q*,Carlos Correa,MIN,SS,reed,29,280
77,*03mnq*,Carlos Estevez,LAA,RP,BEIM,31,406
78,*02c2r*,Carlos Rodon,NYY,SP,owenhern,31,155
79,*05y7v*,Carson Whisenhunt,SF,SP,Tino,23,500
80,*05t9n*,Carson Williams,TB,SS,Geezers,20,125
81,*04mlf*,Casey Mize,DET,SP,BARTO,27,500
82,*05gsi*,Ceddanne Rafaela,BOS,"SS,OF",BARTO,23,354
83,*03qr0*,Cedric Mullins,BAL,OF,reed,29,186
84,*0374o*,Chad Green,TOR,RP,owenhern,33,500
85,*005jn*,Charlie Morton,ATL,SP,Geezers,40,363
86,*04esz*,Chas McCormick,HOU,OF,BARTO,29,350
87,*05uei*,Chase DeLauter,CLE,OF,Bird,22,243
88,*05yj0*,Chase Dollander,COL,SP,reed,22,500
89,*05xsm*,Chase Silseth,LAA,"SP,RP",DT,24,500
90,*05uws*,Chayce McDermott,BAL,SP,LIAM,25,500
91,*02c2h*,Chris Bassitt,TOR,SP,Geezers,35,302
92,*01uca*,Chris Sale,ATL,SP,BEIM,35,103
93,*05xor*,Christian Encarnacion-Strand,CIN,1B,Kirby,24,185
94,*05xpq*,Christian Scott,NYM,"SP,RP",Tino,24,170
95,*02mw3*,Christian Walker,ARI,1B,JGC,33,167
96,*025dn*,Christian Yelich,MIL,OF,reed,32,87
97,*04pbp*,Christopher Morel,CHC,"3B,OF",Tino,24,213
98,*04qk8*,CJ Abrams,WSH,SS,LIAM,23,14
99,*04ee7*,Clarke Schmidt,NYY,SP,Tino,28,175
100,*02bx4*,Clay Holmes,NYY,RP,Geezers,31,173
101,*005ih*,Clayton Kershaw,LAD,SP,DT,36,306
102,*05js5*,Coby Mayo,BAL,3B,PAP,22,126
103,*03120*,Cody Bellinger,CHC,"1B,OF",reed,28,60
104,*0514o*,Cody Bradford,TEX,"SP,RP",BARTO,26,500
105,*0630e*,Colby Thomas,OAK,OF,LIAM,23,500
106,*041ma*,Cole Ragans,KC,"SP,RP",DT,26,43
107,*05y7x*,Cole Young,SEA,SS,Geezers,20,318
108,*05rch*,Colson Montgomery,CHW,"3B,SS",owenhern,22,239
109,*060ub*,Colt Emerson,SEA,SS,Bird,18,190
110,*05jrh*,Colt Keith,DET,"2B,3B",Bird,22,187
111,*05ras*,Colton Cowser,BAL,OF,owenhern,24,85
112,*05tce*,Connor Norby,BAL,2B,Tino,23,500
113,*05jpe*,Connor Phillips,CIN,SP,owenhern,23,500
114,*04efi*,Connor Wong,BOS,C,PAP,28,500
115,*04px6*,Cooper Criswell,BOS,"SP,RP",Geezers,27,500
116,*041rd*,Corbin Burnes,BAL,SP,JGC,29,35
117,*04y4e*,Corbin Carroll,ARI,OF,JGC,23,12
118,*02mw6*,Corey Seager,TEX,SS,DT,30,40
119,*01scl*,Craig Kimbrel,BAL,RP,BEIM,36,396
120,*045kb*,Cristian Javier,HOU,SP,owenhern,27,285
121,*052c8*,Cristopher Sanchez,PHI,SP,LIAM,27,208
122,*05xtz*,Dalton Rushing,LAD,C,DT,23,300
123,*01fd0*,Daniel Hudson,LAD,RP,Tino,37,500
124,*02hxd*,Danny Coulombe,BAL,RP,BARTO,34,500
125,*031el*,Danny Jansen,TOR,C,Kirby,29,500
126,*03ae8*,Dansby Swanson,CHC,SS,reed,30,181
127,*04efa*,Daulton Varsho,TOR,OF,LIAM,27,294
128,*04aqc*,David Bednar,PIT,RP,reed,29,229
129,*05yav*,David Festa,MIN,SP,Bird,24,386
130,*04psr*,David Fry,CLE,"C,OF",Bird,28,371
131,*04o2x*,Davis Schneider,TOR,"2B,OF",Bird,25,295
132,*041yb*,Dean Kremer,BAL,SP,Geezers,28,500
133,*0311c*,Devin Williams,MIL,RP,BEIM,29,230
134,*05nsq*,Deyvison De Los Santos,ARI,3B,JGC,20,500
135,*01sfi*,DJ LeMahieu,NYY,"1B,3B",owenhern,35,500
136,*04aeh*,DL Hall,MIL,"SP,RP",reed,25,500
137,*05xu0*,Drew Gilbert,NYM,OF,Bird,23,500
138,*04eee*,Drew Rasmussen,TB,SP,Kirby,28,500
139,*05yb1*,Drew Thorpe,CHW,SP,LIAM,23,357
140,*05tdk*,Druw Jones,ARI,OF,Tino,20,389
141,*041r5*,Dustin May,LAD,SP,Tino,26,500
142,*05xty*,Dylan Beavers,BAL,OF,DT,22,383
143,*03df2*,Dylan Cease,SD,SP,Tino,28,55
144,*0596e*,Dylan Crews,WSH,OF,Kirby,21,121
145,*05tdl*,Dylan Lesko,SD,SP,PAP,20,500
146,*03qml*,Dylan Moore,SEA,"2B,SS,OF",DT,31,500
147,*05un2*,Edgar Quero,CHW,C,owenhern,21,500
148,*051dl*,Edouard Julien,MIN,2B,Kirby,25,215
149,*029si*,Eduardo Rodriguez,ARI,SP,Geezers,31,330
150,*04ali*,Edward Cabrera,MIA,SP,reed,26,296
151,*02my5*,Edwin Diaz,NYM,RP,Bird,30,171
152,*03fhx*,Elias Diaz,COL,C,BEIM,33,500
153,*05udp*,Elly De La Cruz,CIN,"3B,SS",Bird,22,1
154,*030ud*,Eloy Jimenez,CHW,UT,JGC,27,358
155,*0510l*,Emerson Hancock,SEA,SP,Tino,25,500
156,*04ug5*,Emmanuel Clase,CLE,RP,PAP,26,132
157,*054p6*,Emmanuel Rodriguez,MIN,OF,Bird,21,95
158,*05y2l*,Emmet Sheehan,LAD,SP,DT,24,500
159,*0529l*,Endy Rodriguez,PIT,C,Kirby,24,500
160,*03d6n*,Erick Fedde,CHW,SP,JGC,31,500
161,*05ybr*,Ethan Salas,SD,C,Geezers,18,263
162,*05aoc*,Eury Perez,MIA,SP,Bird,21,80
163,*05mdt*,Evan Carter,TEX,OF,Kirby,21,63
164,*03qto*,Evan Phillips,LAD,RP,DT,29,141
165,*04mra*,Ezequiel Tovar,COL,SS,Geezers,22,152
166,*05t64*,Felix Bautista,BAL,RP,Bird,28,264
167,*05mx9*,Felnin Celesten,SEA,SS,Geezers,18,249
168,*03zbh*,Fernando Tatis Jr.,SD,OF,JGC,25,10
169,*04auj*,Framber Valdez,HOU,SP,PAP,30,135
170,*04qnc*,Francisco Alvarez,NYM,C,Bird,22,118
171,*02611*,Francisco Lindor,NYM,SS,PAP,30,39
172,*02yg3*,Frankie Montas,CIN,"SP,RP",Kirby,31,500
173,*01cgo*,Freddie Freeman,LAD,1B,JGC,34,38
174,*03dc4*,Freddy Peralta,MIL,SP,reed,28,42
175,*05rcs*,Gabriel Gonzalez,MIN,OF,BARTO,20,500
176,*04s1g*,Gabriel Moreno,ARI,C,BARTO,24,338
177,*05ajh*,Garrett Crochet,CHW,"SP,RP",Kirby,24,56
178,*04en7*,Garrett Mitchell,MIL,OF,DT,25,500
179,*04eqa*,Garrett Whitlock,BOS,"SP,RP",BARTO,27,500
180,*01t9q*,Gary Sanchez,MIL,C,Geezers,31,500
181,*041ai*,Gavin Lux,LAD,2B,owenhern,26,500
182,*04eej*,Gavin Sheets,CHW,"1B,OF",reed,28,500
183,*05mrx*,Gavin Stone,LAD,"SP,RP",DT,25,210
184,*05jp7*,Gavin Williams,CLE,SP,PAP,24,148
185,*04yie*,George Kirby,SEA,SP,Kirby,26,53
186,*067xm*,George Klassen,PHI,RP,reed,22,500
187,*025he*,George Springer,TOR,OF,PAP,34,274
188,*04pbq*,Geraldo Perdomo,ARI,"2B,SS",owenhern,24,500
189,*03amq*,German Marquez,COL,SP,Tino,29,500
190,*01spo*,Gerrit Cole,NYY,SP,Geezers,33,64
191,*01cdf*,Giancarlo Stanton,NYY,OF,owenhern,34,283
192,*031t0*,Gleyber Torres,NYY,2B,owenhern,27,119
193,*04pko*,Grayson Rodriguez,BAL,SP,PAP,24,57
194,*0317q*,Griffin Jax,MIN,RP,PAP,29,500
195,*050w9*,Gunnar Henderson,BAL,"3B,SS",Tino,22,6
196,*05raw*,Harry Ford,SEA,C,Tino,21,244
197,*05ajg*,Ha-seong Kim,SD,"2B,3B,SS",LIAM,28,99
198,*03h90*,Hector Neris,CHC,RP,JGC,34,500
199,*05oxc*,Henry Davis,PIT,"C,OF",DT,24,378
200,*0596f*,Heston Kjerstad,BAL,UT,owenhern,25,224
201,*05144*,Hunter Brown,HOU,SP,LIAM,25,322
202,*04aea*,Hunter Greene,CIN,SP,Tino,24,54
203,*0310c*,Hunter Harvey,WSH,RP,LIAM,29,500
204,*0603p*,Hurston Waldrep,ATL,SP,Kirby,22,337
205,*06f8f*,Hyun-Seok Jang,LAD,SP,DT,20,500
206,*03nmw*,Ian Happ,CHC,OF,BEIM,29,352
207,*04071*,Isaac Paredes,TB,"1B,3B",Kirby,25,84
208,*04hyc*,Ivan Herrera,STL,C,Bird,24,500
209,*02334*,J.D. Martinez,NYM,UT,BARTO,36,348
210,*025i9*,J.T. Realmuto,PHI,C,Geezers,33,180
211,*05tzg*,Jace Jung,DET,2B,JGC,23,500
212,*03d6w*,Jack Flaherty,DET,SP,Kirby,28,76
213,*04y9o*,Jack Leiter,TEX,SP,Tino,24,299
214,*05m1e*,Jackson Chourio,MIL,OF,Bird,20,24
215,*05ybv*,Jackson Holliday,BAL,"2B,SS",BARTO,20,25
216,*05rb0*,Jackson Jobe,DET,"SP,RP",Kirby,21,102
217,*05ua7*,Jackson Merrill,SD,"SS,OF",PAP,21,62
218,*02hjp*,Jacob deGrom,TEX,SP,Bird,35,159
219,*05r9h*,Jacob Hurtubise,CIN,OF,BEIM,26,500
220,*061yu*,Jacob Misiorowski,MIL,SP,BARTO,22,326
221,*0622t*,Jacob Wilson,OAK,SS,reed,22,500
222,*060q2*,Jairo Iriarte,CHW,SP,Bird,22,398
223,*05yix*,Jaison Chourio,CLE,OF,Geezers,19,335
224,*04azv*,Jake Burger,MIA,"1B,3B",BARTO,28,366
225,*03qmh*,Jake Cronenworth,SD,"1B,2B",Geezers,30,370
226,*03qyv*,Jake McCarthy,ARI,OF,owenhern,26,500
227,*04emt*,Jake Meyers,HOU,OF,DT,27,413
228,*065ji*,Jakob Marsee,MIA,OF,LIAM,22,500
229,*04pw3*,James McArthur,KC,RP,BARTO,27,293
230,*05ucf*,James Triantos,CHC,"3B,SS",PAP,21,500
231,*05rat*,James Wood,WSH,OF,Tino,21,49
232,*01srb*,Jameson Taillon,CHC,SP,Bird,32,500
233,*05h2u*,Jared Jones,PIT,"SP,RP",PAP,22,32
234,*04pst*,Jarren Duran,BOS,OF,Tino,27,94
235,*04aoq*,Jason Foley,DET,RP,Bird,28,402
236,*050c3*,Jasson Dominguez,NYY,OF,BEIM,21,67
237,*04fq2*,Javier Assad,CHC,"SP,RP",DT,26,407
238,*05t9f*,Jay Allen,CIN,OF,BARTO,21,500
239,*045qo*,Jazz Chisholm Jr.,MIA,OF,BARTO,26,48
240,*03ann*,Jeff Hoffman,PHI,RP,DT,31,329
241,*04mlr*,Jeffrey Springs,TB,SP,JGC,31,218
242,*04ehz*,Jeremiah Estrada,SD,RP,Bird,25,500
243,*04ppj*,Jeremy Pena,HOU,SS,PAP,26,145
244,*02mwg*,Jesse Winker,WSH,"OF,UT",BEIM,30,500
245,*041r1*,Jesus Luzardo,MIA,SP,reed,26,100
246,*060la*,Jett Williams,NYM,SS,Bird,20,246
247,*04apj*,Jhoan Duran,MIN,RP,LIAM,26,142
248,*04y95*,JJ Bleday,OAK,OF,LIAM,26,500
249,*04aee*,Jo Adell,LAA,OF,Kirby,25,269
250,*01sve*,Joe Kelly,LAD,RP,DT,35,500
251,*02bqy*,Joe Musgrove,SD,SP,PAP,31,204
252,*04ps7*,Joe Ryan,MIN,SP,LIAM,28,46
253,*06625*,Joendry Vargas,LAD,SS,DT,18,393
254,*05yfl*,Joey Loperfido,HOU,OF,reed,25,316
255,*0513c*,Joey Ortiz,MIL,"2B,3B",Bird,25,257
256,*04674*,Johan Oviedo,PIT,SP,BARTO,26,500
257,*03dim*,John Means,BAL,SP,PAP,31,500
258,*041rj*,JoJo Romero,STL,RP,Geezers,27,500
259,*02bxv*,Jon Gray,TEX,SP,JGC,32,361
260,*031b2*,Jonah Heim,TEX,C,reed,28,339
261,*0658b*,Jonah Tong,NYM,SP,PAP,20,500
262,*04y94*,Jonny Deluca,TB,OF,Kirby,25,315
263,*066sx*,Jonny Farmelo,SEA,SS,DT,19,319
264,*03vcw*,Jordan Hicks,SF,"SP,RP",Bird,27,209
265,*05r1m*,Jordan Lawlar,ARI,SS,BARTO,21,68
266,*0614c*,Jordan Leasure,CHW,RP,DT,25,500
267,*03dbo*,Jordan Montgomery,ARI,SP,Bird,31,193
268,*03di6*,Jordan Romano,TOR,RP,PAP,31,228
269,*05gbf*,Jordan Walker,STL,OF,Kirby,22,114
270,*05gsc*,Jordan Westburg,BAL,"2B,3B",BARTO,25,58
271,*03b6k*,Jorge Mateo,BAL,"2B,SS",Geezers,28,500
272,*02i11*,Jorge Soler,SF,"OF,UT",LIAM,32,284
273,*024m0*,Jose Altuve,HOU,2B,BEIM,34,37
274,*03btm*,Jose Alvarado,PHI,RP,reed,29,327
275,*02mwk*,Jose Berrios,TOR,SP,BEIM,30,202
276,*05oz7*,Jose Butto,NYM,SP,BARTO,26,500
277,*04eig*,Jose Caballero,TB,"2B,SS",BEIM,27,344
278,*04k0x*,Jose Quijada,LAA,RP,JGC,28,500
279,*01ub6*,Jose Ramirez,CLE,3B,PAP,31,17
280,*04c0o*,Jose Soriano,LAA,"SP,RP",reed,25,192
281,*02n96*,Josh Hader,HOU,RP,Kirby,30,129
282,*04y44*,Josh Jung,TEX,3B,Geezers,26,107
283,*041ah*,Josh Lowe,TB,OF,BARTO,26,116
284,*03pjd*,Josh Naylor,CLE,1B,BARTO,26,72
285,*04oct*,Josh Rojas,SEA,"2B,3B",DT,29,500
286,*052ru*,Josh Smith,TEX,"3B,SS,OF",Geezers,26,500
287,*061zv*,Josue De Paula,LAD,OF,DT,19,248
288,*03ynj*,Juan Soto,NYY,OF,owenhern,25,5
289,*04fhb*,Julio Rodriguez,SEA,OF,BARTO,23,11
290,*05m49*,Jung Hoo Lee,SF,OF,BARTO,25,260
291,*05xch*,Junior Caminero,TB,3B,Bird,20,36
292,*01spl*,Jurickson Profar,SD,OF,Geezers,31,369
293,*03deg*,Justin Steele,CHC,SP,reed,28,161
294,*01lum*,Justin Turner,TOR,1B,Geezers,39,500
295,*000dp*,Justin Verlander,HOU,SP,reed,41,364
296,*05y9r*,Justin Wrobleski,LAD,SP,DT,23,222
297,*05uy1*,Justyn-Henry Malloy,DET,3B,Kirby,24,500
298,*04esc*,Keaton Winn,SF,SP,reed,26,500
299,*03pji*,Ke'Bryan Hayes,PIT,3B,Tino,27,351
300,*03rmz*,Keibert Ruiz,WSH,C,JGC,25,500
301,*01svz*,Kenley Jansen,BOS,RP,Geezers,36,397
302,*051em*,Kerry Carpenter,DET,OF,Tino,26,197
303,*0326s*,Ketel Marte,ARI,2B,LIAM,30,96
304,*04qow*,Kevin Alcantara,CHC,OF,Tino,21,334
305,*02hi7*,Kevin Gausman,TOR,SP,Geezers,33,134
306,*030vs*,Kirby Yates,TEX,RP,JGC,37,395
307,*04a2t*,Kodai Senga,NYM,SP,Bird,31,147
308,*0510z*,Korey Lee,CHW,C,Tino,25,500
309,*04pmb*,Kris Bubic,KC,SP,DT,26,500
310,*06f0q*,Kristian Campbell,BOS,SS,LIAM,21,500
311,*04ep8*,Kutter Crawford,BOS,"SP,RP",JGC,28,108
312,*04pq4*,Kyle Bradish,BAL,SP,Kirby,27,128
313,*031bl*,Kyle Finnegan,WSH,RP,owenhern,32,405
314,*05js3*,Kyle Harrison,SF,SP,Tino,22,311
315,*05rfu*,Kyle Manzardo,CLE,1B,Kirby,23,236
316,*03cag*,Kyle Schwarber,PHI,OF,Geezers,31,163
317,*05wxy*,Kyle Teel,BOS,"C,OF",BARTO,22,500
318,*03pir*,Kyle Tucker,HOU,OF,JGC,27,7
319,*04aed*,Kyle Wright,KC,SP,Tino,28,500
320,*05yeu*,Lael Lockhart,DET,SP,BEIM,26,500
321,*03qo2*,LaMonte Wade Jr.,SF,"1B,OF",Bird,30,500
322,*026l1*,Lance McCullers Jr.,HOU,SP,Tino,30,500
323,*05l9f*,Landon Knack,LAD,SP,Geezers,26,500
324,*03dei*,Lane Thomas,WSH,OF,Kirby,28,115
325,*04pt2*,Lars Nootbaar,STL,OF,LIAM,26,194
326,*05rfc*,Lazaro Montes,SEA,"1B,OF",Bird,19,217
327,*067yc*,Leodalis De Vries,SD,SS,Kirby,17,394
328,*01ub8*,Liam Hendriks,BOS,RP,LIAM,35,500
329,*06hv8*,Logan Evans,SEA,SP,Bird,23,500
330,*04n0m*,Logan Gilbert,SEA,SP,Kirby,27,45
331,*04q56*,Logan O'Hoppe,LAA,C,PAP,24,255
332,*03dbm*,Logan Webb,SF,SP,BEIM,27,91
333,*03nri*,Lourdes Gurriel Jr.,ARI,OF,BARTO,30,409
334,*02i37*,Lucas Giolito,BOS,SP,reed,29,500
335,*03mew*,Luis Arraez,SD,"1B,2B",BARTO,27,273
336,*03nuc*,Luis Castillo,SEA,SP,LIAM,31,52
337,*0414g*,Luis Garcia,WSH,2B,reed,24,289
338,*04ni3*,Luis Garcia,HOU,SP,BARTO,27,289
339,*04s1h*,Luis Gil,NYY,SP,owenhern,26,156
340,*04y11*,Luis Matos,SF,OF,Bird,22,258
341,*03avk*,Luis Rengifo,LAA,"2B,3B,SS,OF",JGC,27,500
342,*047l7*,Luis Robert Jr.,CHW,OF,reed,26,22
343,*03ab0*,Luis Severino,NYM,SP,Geezers,30,362
344,*04z6k*,Luisangel Acuna,NYM,SS,owenhern,22,333
345,*05zh9*,Luke Keaschall,MIN,2B,JGC,21,500
346,*02c5l*,Luke Weaver,NYY,"SP,RP",owenhern,30,500
347,*05yha*,Mac Horvath,BAL,3B,LIAM,22,500
348,*04cd5*,MacKenzie Gore,WSH,SP,BEIM,25,111
349,*05g3x*,Maikel Garcia,KC,3B,owenhern,24,93
350,*01svq*,Manny Machado,SD,3B,LIAM,31,98
351,*01usi*,Marcell Ozuna,ATL,UT,LIAM,33,81
352,*05r9j*,Marcelo Mayer,BOS,SS,owenhern,21,240
353,*04ooy*,Marco Luciano,SF,SS,reed,22,500
354,*02bu9*,Marcus Semien,TEX,2B,reed,33,88
355,*02hg4*,Marcus Stroman,NYY,SP,owenhern,33,360
356,*025eo*,Mark Canha,DET,OF,DT,35,500
357,*0319c*,Mark Leiter Jr.,CHC,RP,BARTO,33,500
358,*03zcy*,Mark Vientos,NYM,3B,JGC,24,317
359,*05rc3*,Masataka Yoshida,BOS,OF,PAP,30,353
360,*05ucd*,Mason Miller,OAK,"SP,RP",reed,25,83
361,*05gwy*,Masyn Winn,STL,SS,JGC,22,290
362,*05138*,Matt Brash,SEA,RP,Kirby,26,500
363,*03d6s*,Matt Chapman,SF,3B,Geezers,31,278
364,*04pks*,Matt McLain,CIN,"2B,SS",BARTO,24,66
365,*02mwm*,Matt Olson,ATL,1B,BEIM,30,29
366,*063vu*,Matt Shaw,CHC,2B,Kirby,22,122
367,*04pqq*,Matt Vierling,DET,"3B,OF",BEIM,27,500
368,*051e5*,Matt Waldron,SD,SP,JGC,27,500
369,*06dmr*,Matt Wilkinson,CLE,SP,BARTO,21,500
370,*05u9y*,Max Clark,DET,OF,Tino,19,247
371,*02i2j*,Max Fried,ATL,SP,BEIM,30,92
372,*01vja*,Max Kepler,MIN,OF,Kirby,31,411
373,*05a2d*,Max Meyer,MIA,SP,Tino,25,251
374,*02mzg*,Max Muncy,LAD,3B,Geezers,33,252
375,*004ee*,Max Scherzer,TEX,SP,JGC,39,305
376,*04q24*,Max Schuemann,OAK,SS,DT,26,500
377,*02hj7*,Merrill Kelly,ARI,SP,Geezers,35,304
378,*04t9b*,Michael Busch,CHC,"1B,3B",JGC,26,216
379,*0512v*,Michael Harris II,ATL,OF,Bird,23,23
380,*041wv*,Michael King,SD,"SP,RP",Tino,29,205
381,*03d6v*,Michael Kopech,CHW,"SP,RP",reed,28,365
382,*02iug*,Michael Wacha,KC,SP,owenhern,32,500
383,*05g4k*,Mick Abel,PHI,SP,BEIM,22,500
384,*02i3l*,Miguel Andujar,OAK,OF,LIAM,29,500
385,*05m1c*,Miguel Bleis,BOS,OF,LIAM,20,500
386,*04ru7*,Miguel Vargas,LAD,2B,Tino,24,377
387,*06dnb*,Mike Boeve,MIL,3B,BEIM,22,500
388,*01s8u*,Mike Trout,LAA,OF,Geezers,32,104
389,*031cd*,Mitch Garver,SEA,C,DT,33,500
390,*03d7h*,Mitch Keller,PIT,SP,PAP,28,191
391,*05jqy*,Mitchell Parker,WSH,"SP,RP",owenhern,24,412
392,*05rbs*,Moises Ballesteros,CHC,C,Kirby,20,382
393,*02btf*,Mookie Betts,LAD,"2B,SS,OF",DT,31,9
394,*01ut7*,Nathan Eovaldi,TEX,SP,DT,34,270
395,*041xv*,Nathaniel Lowe,TEX,1B,owenhern,28,313
396,*03bin*,Nestor Cortes Jr.,NYY,SP,BARTO,29,157
397,*01uc9*,Nick Castellanos,PHI,OF,JGC,32,307
398,*0597k*,Nick Gonzales,PIT,2B,PAP,25,500
399,*041ps*,Nick Lodolo,CIN,SP,Tino,26,139
400,*0316j*,Nick Pivetta,BOS,"SP,RP",Kirby,31,136
401,*04pkr*,Nico Hoerner,CHC,"2B,SS",Geezers,27,177
402,*05uc7*,Noah Schultz,CHW,SP,reed,20,200
403,*062yr*,Noble Meyer,MIA,SP,DT,19,500
404,*04qnd*,Noelvi Marte,CIN,3B,JGC,22,69
405,*01sy3*,Nolan Arenado,STL,3B,JGC,33,275
406,*04ai4*,Nolan Gorman,STL,2B,Kirby,24,214
407,*041q6*,Nolan Jones,COL,OF,JGC,26,169
408,*05y7s*,Nolan McLean,NYM,3B,reed,22,500
409,*03zlh*,Oneil Cruz,PIT,SS,Bird,25,41
410,*04mms*,Orelvis Martinez,TOR,SS,JGC,22,237
411,*06491*,Orion Kerkering,PHI,RP,BARTO,23,500
412,*04g7n*,Oswald Peraza,NYY,3B,owenhern,23,500
413,*05jsg*,Owen Caissie,CHC,OF,Kirby,21,242
414,*03fi0*,Ozzie Albies,ATL,2B,JGC,27,47
415,*043f9*,Pablo Lopez,MIN,SP,BEIM,28,44
416,*04pmn*,Parker Meadows,DET,OF,Tino,24,379
417,*04yuu*,Patrick Bailey,SF,C,LIAM,25,500
418,*01ual*,Paul Goldschmidt,STL,1B,reed,36,227
419,*02n2x*,Paul Sewald,ARI,RP,JGC,34,266
420,*05wru*,Paul Skenes,PIT,SP,BARTO,22,19
421,*041pz*,Pete Alonso,NYM,1B,Bird,29,31
422,*051wv*,Pete Crow-Armstrong,CHC,OF,Kirby,22,138
423,*03qo0*,Pete Fairbanks,TB,RP,PAP,30,292
